lead_id,first_name,last_name,company,email,phone,status,lead_source,lead_owner_id,lead_created_date,converted_account_id,converted_contact_id,converted_opportunity_id,owner_name,owner_title,owner_role,owner_department,owner_is_active,owner_hire_date,task_count,open_task_count,closed_task_count,high_priority_task_count,last_task_created_date,last_task_activity_date,lead_age_days,lead_is_converted
00QmCzeMbl7TN3cJwO,Alex,Gupta,Evergreen Group,alex.gupta.20@lead.example,+1-555-868-5941,Nurturing,Partner Referral,005zWOoMnQrwuxqr1I,2022-02-05,001z1Yf1edEEB3l3Cr,003Tug8khNge2RsNNU,0065FuoQkx8SBKQ75L,Elias Smith,Sales Development Representative,SDR,Sales,True,2022-09-16,1,1,0,1,2025-12-22,2025-12-24,1425,True
00QU4Yf3DIMVHJSRj9,Jamal,Diaz,Pinnacle Retail,jamal.diaz.21@lead.example,+1-555-400-1991,Nurturing,Event,005Fg6NzJiUZlow1pr,2023-02-16,001Opgd8sFkHh8xPgd,003qWOxVRnO9JrjKCg,006Wc138XqdSBmhWoc,Andre Ibrahim,Business Development Representative,BDR,Sales,True,2022-08-16,9,4,5,3,2024-09-08,2024-09-14,1049,True
00QC0On1nmh0BDHAZk,Quinn,Lee,Oakridge Logistics,quinn.lee.22@lead.example,+1-555-775-4959,Open,Outbound,005T3CcQW30Fc3HxzP,2024-01-19,001Yjtcy5wfCHcpkpM,003ubHGciTzrGi2wDL,006t8AoMtMEozpNqbr,Saanvi Green,Business Development Representative,BDR,Sales,True,2025-01-20,0,0,0,0,,,712,True
00QJ4xOITYzhRRlpdQ,Andre,Robinson,Cobalt Retail,andre.robinson.23@lead.example,+1-555-223-2953,Open,Trade Show,005wBTdruibiY0OPdW,2024-10-23,001JGn6H6sRasVa6wz,003qfOVmh1TsE12j4w,006vAtwD9wm5wuwn8Y,Elias Abebe,Account Executive,AE,Sales,True,2025-05-12,2,0,2,2,2025-09-26,2025-10-12,434,True
00QmeqE2bZxjVWpF5A,Saanvi,Johnson,Northstar Foods,saanvi.johnson.24@lead.example,+1-555-895-6475,Working,Web,005w1rZfJkoRoaYcEo,2023-01-06,001zrDPS3lRYdxzCIz,003QgC8CYKrvS7qo2M,006ECKGR3QyN4cfmxA,Jada Green,Business Development Representative,BDR,Sales,True,2021-10-10,3,2,1,1,2023-09-14,2023-09-19,1090,True
00QwD4AbOLHUB28g32,Imani,Wong,Harbor Partners,imani.wong.25@lead.example,+1-555-110-2755,Qualified,Partner Referral,0052vuTGNhPaf9DJtR,2024-06-23,001mbSgicvLCYfm4dq,003vvkcFR69sPvX7LO,006aHcFLILP9ZfdrWC,Sofia Lee,Sales Development Representative,SDR,Sales,True,2025-09-16,4,1,3,2,2025-06-12,2025-06-27,556,True
00QmnLvYbKMKf7ZpnC,Elias,Wilson,Lighthouse Logistics,elias.wilson.26@lead.example,+1-555-581-7783,Open,Outbound,005nz6ixedb0ulRU2P,2025-04-24,,,,Saanvi Hall,Business Development Representative,BDR,Sales,True,2021-07-28,4,4,0,3,2024-12-14,2024-12-30,251,False
00QtbWarz2LXhdRMp9,Aaliyah,Cruz,Cobalt Services,aaliyah.cruz.27@lead.example,+1-555-655-2433,Qualified,Inbound,005ponU3oUJcEecoTy,2022-04-29,,,,Tariq Sanchez,Account Executive,AE,Sales,True,2024-09-09,3,2,1,1,2025-10-10,2025-10-29,1342,False
00QCVcpxy5dpa9atyC,DeShawn,Miller,Ironwood Technologies,deshawn.miller.28@lead.example,+1-555-735-2602,Qualified,Event,005BLRswT6VWAL3Jkq,2022-12-03,,,,Taylor Hall,Business Development Representative,BDR,Sales,True,2023-12-26,4,2,2,1,2025-01-12,2025-02-02,1124,False
00QSlPdFuUYIixQWDe,Riley,Alvarez,Northstar Software,riley.alvarez.29@lead.example,+1-555-644-1551,Qualified,Trade Show,005SW3xD3pVRHzXb4Z,2025-08-06,001ZiUvrSSZ0Aopot9,,,Saanvi Edwards,Sales Development Representative,SDR,Sales,True,2022-01-23,6,4,2,4,2026-01-16,2026-01-27,147,True
00QDF1f4iyVQsSfkiZ,Nia,Rodriguez,BlueSky Manufacturing,nia.rodriguez.30@lead.example,+1-555-727-8245,Working,Web,005EF1FFbGvvXzIjDl,2025-02-16,,,,Tariq Moore,Sales Development Representative,SDR,Sales,True,2023-01-30,4,2,2,1,2024-12-05,2024-12-27,318,False
00Q7BtuxGFFw2Z2H85,Zuri,Lopez,Oakridge Technologies,zuri.lopez.31@lead.example,+1-555-310-4365,Nurturing,Inbound,005aV0dZauGUbUqQX9,2023-03-31,,,,Leila Gonzalez,Sales Development Representative,SDR,Sales,True,2025-05-17,4,3,1,1,2025-12-10,2026-01-07,1006,False
00QRvVwqQ0a1gqch8f,Kavya,Diaz,Pinnacle Partners,kavya.diaz.32@lead.example,+1-555-668-1740,Nurturing,Web,005SotgxabsZFoiinJ,2025-04-04,0010FsKTmju2cbo5TE,003IFg9tujDduFKUvZ,006qOBSytVsmvRK2zm,Kai Patel,Business Development Representative,BDR,Sales,True,2024-09-03,6,3,3,1,2025-07-26,2025-08-17,271,True
00QUuvI1xZd2lXuBAv,Amina,Johnson,Evergreen Services,amina.johnson.33@lead.example,+1-555-308-6631,Nurturing,Event,005ZgXPYFXOBU7G1tp,2024-09-19,001lnvNXRsKc5b5ImN,0035oUtIhO2u6qnokP,006fR7brgOIPFvNJ1b,Kavya Anderson,Business Development Representative,BDR,Sales,True,2024-05-08,7,4,3,2,2025-03-20,2025-04-07,468,True
00QsTlAV6S1PUxPZx7,Adriana,Cruz,Summit Technologies,adriana.cruz.34@lead.example,+1-555-951-3555,Open,Inbound,005Cu36WnbRoy8DEqo,2023-11-29,,,,Javier Miller,Sales Development Representative,SDR,Sales,True,2023-12-15,4,0,4,1,2025-08-11,2025-09-01,763,False
00QW654uAh6OXDtuYN,Leila,Thompson,Evergreen Labs,leila.thompson.35@lead.example,+1-555-632-1634,Qualified,Inbound,005Jf9CIg9lV3G32cG,2023-10-16,,,,Sofia Thompson,Business Development Representative,BDR,Sales,True,2023-04-13,2,1,1,0,2023-11-12,2023-12-03,807,False
00QpGX0unNfc0SHT4r,Omar,Singh,Stratus Group,omar.singh.36@lead.example,+1-555-991-3840,Working,Partner Referral,005r9q3iIp3WHLiZhI,2022-09-23,001DTGzPJ707HU27dJ,003Jsyd03NgBe6g0Du,006eoUtYviIvyQHKW7,Jordan Banerjee,Sales Development Representative,SDR,Sales,True,2022-02-24,2,1,1,0,2024-11-27,2024-12-09,1195,True
00QYSChutY2Aqfw2kw,Akira,Wilson,BlueSky Consulting,akira.wilson.37@lead.example,+1-555-734-3243,Open,Partner Referral,005mzHykyCWibqXEgp,2024-02-02,,,,Imani Washington,Business Development Representative,BDR,Sales,True,2024-04-26,2,2,0,1,2025-04-11,2025-05-05,698,False
00QX0X1FEyCzK2EBDp,Maya,Hernandez,Nimbus Consulting,maya.hernandez.38@lead.example,+1-555-192-6614,Qualified,Partner Referral,005H18uJWTVdyNheWe,2024-07-10,00176H8JYUzesKj1Ej,003stVvtDSU5V1260D,0062YnS8NzHyRd9j42,Kavya Banerjee,Business Development Representative,BDR,Sales,True,2025-09-07,7,5,2,4,2024-04-28,2024-05-05,539,True
00Q1J9z2KbPA2kddCD,Haruto,Banerjee,Evergreen Financial,haruto.banerjee.39@lead.example,+1-555-869-8223,Open,Trade Show,005mm9vtHx0K9TGlB7,2025-02-05,001NdB6rLGtmeZyHe0,003gUt6cdS5qiNDfGO,0069YuOp2AYIBgXvNH,Jihoon Davis,Sales Development Representative,SDR,Sales,True,2024-06-25,4,1,3,4,2025-09-04,2025-09-06,329,True
00QZGfVtV96qkhcF44,Miguel,Green,Oakridge Services,miguel.green.40@lead.example,+1-555-806-3113,Qualified,Trade Show,005vvizm5OfORbfBYV,2023-02-28,001Rok5NBSShDP0v8R,0031kxpGvoIOAK4GZP,006tzMEFfdyUGKN9gg,Kavya Robinson,Sales Development Representative,SDR,Sales,True,2022-06-25,3,2,1,1,2025-04-12,2025-04-28,1037,True
00QT5ia7UiOE43P5CF,Keisha,Moore,Nimbus Manufacturing,keisha.moore.41@lead.example,+1-555-379-4223,Nurturing,Trade Show,0052yGgxi1v4hCqV4x,2022-02-18,,,,Amina Hernandez,Sales Development Representative,SDR,Sales,True,2022-10-07,3,1,2,2,2025-03-11,2025-03-29,1412,False
00QEa7GYrNAe2mYnZr,Saanvi,Wilson,Harbor Systems,saanvi.wilson.42@lead.example,+1-555-487-4873,Open,Web,005EhkAnpKcWuNovJ6,2025-03-26,,,,Tariq Cruz,Business Development Representative,BDR,Sales,True,2023-12-03,2,1,1,0,2025-08-13,2025-09-05,280,False
00Q5OKbyFcgnNDVrLX,Andre,Moore,Vertex Group,andre.moore.43@lead.example,+1-555-847-2479,Open,Trade Show,005voBFvhNYadVKXTu,2022-02-21,001a5El3VIRkZvBGeC,003VIshWsRAbPWJkST,006UMaqvqsZoxzOE1E,Amina Cruz,Business Development Representative,BDR,Sales,True,2024-05-30,4,2,2,2,2025-05-02,2025-05-08,1409,True
00QZO1GgygCaeQeurx,Andre,Abebe,Lighthouse Systems,andre.abebe.44@lead.example,+1-555-907-3506,Working,Trade Show,005GkgNJqeO2GW2jXH,2024-10-08,001t2MrMGbGyDrnedJ,,,Imani Khan,Sales Development Representative,SDR,Sales,True,2021-12-15,3,2,1,0,2024-12-10,2024-12-28,449,True
00QroY9bLOBv7fpCl8,Akira,Lopez,Nimbus Partners,akira.lopez.45@lead.example,+1-555-474-6562,Qualified,Partner Referral,0050fGb9Xo51dtJbLu,2024-07-04,,,,Aaliyah Lopez,Account Executive,AE,Sales,True,2023-04-22,6,3,3,2,2025-06-08,2025-07-05,545,False
00Q2XQtXek6CPV7rGG,Diego,Alvarez,Harbor Logistics,diego.alvarez.46@lead.example,+1-555-760-4019,Working,Outbound,005bo0fFeWaVUqG2KV,2025-11-13,001TPNjDBW4QWrKL03,003m7pFvWFYRA73AfC,00605229zZbpkpWHsS,Daniel Singh,Sales Development Representative,SDR,Sales,True,2023-12-03,7,5,2,5,2025-10-23,2025-11-18,48,True
00QuPXtUokBu8ghEzE,Priya,Hall,Northstar Financial,priya.hall.47@lead.example,+1-555-358-3102,Open,Partner Referral,005d2TMY2eGPYkWkSs,2023-01-31,00173E49Cir0QUZM7p,003tFHPZgHhnDVGAcQ,006A7yrwPLMJlr2uO3,Taylor Gupta,Account Executive,AE,Sales,True,2024-07-29,5,3,2,1,2025-11-30,2025-12-11,1065,True
00QjZqRwKPYl2GOsCa,Camila,Rodriguez,Lighthouse Retail,camila.rodriguez.48@lead.example,+1-555-147-1789,Open,Outbound,005SotgxabsZFoiinJ,2024-08-14,,,,Kai Patel,Business Development Representative,BDR,Sales,True,2024-09-03,2,2,0,1,2025-09-26,2025-09-28,504,False
00QHqtHIZ72G3Y8wov,Casey,Clark,Clearwater Services,casey.clark.49@lead.example,+1-555-969-2875,Working,Trade Show,005r8kcdxSxYgha9K0,2023-10-11,001hLTMalg8EwI4CCb,003jZTAX5frTz6Sata,006pdwXhuOakbJVZWl,DeShawn Kim,Sales Development Representative,SDR,Sales,True,2025-02-10,1,1,0,0,2022-09-18,2022-09-22,812,True
00QHUXfjoJvPxbpWyi,DeShawn,Diaz,Acme Energy,deshawn.diaz.50@lead.example,+1-555-958-5527,Working,Web,005aABhuRiSBg0srbz,2024-11-13,,,,Miguel Rodriguez,Sales Development Representative,SDR,Sales,True,2025-03-23,4,1,3,2,2025-12-18,2026-01-06,413,False
00Q3pWIjXE350NWsBM,Bao,Moore,BlueSky Retail,bao.moore.51@lead.example,+1-555-554-1486,Nurturing,Web,005O8TxStNstfUeWj7,2024-02-06,,,,Nia Ibrahim,Business Development Representative,BDR,Sales,True,2021-10-09,7,4,3,1,2025-11-13,2025-11-28,694,False
00QKkFbnIgQCc8onBt,Daniel,Mitchell,Northstar Systems,daniel.mitchell.52@lead.example,+1-555-476-6338,Qualified,Inbound,005g4fdGzuew1U6NXU,2023-01-06,001jnui7d0pKYkrBW5,003JicOBYVunON3t7L,006QwxpEG9PUiYihXb,Fatima Kim,Sales Development Representative,SDR,Sales,True,2023-11-29,5,3,2,0,2025-07-01,2025-07-26,1090,True
00Q6FmRyFyoPAr71yx,Camila,Alvarez,Cobalt Health,camila.alvarez.53@lead.example,+1-555-617-8057,Working,Inbound,005gXBXTL8NV8xfMOI,2022-04-09,001bv3PPUblO57l8J6,003ZCullCoFm9mYBwH,006m6o8Qd5ZmFeSgsJ,Sofia Martinez,Business Development Representative,BDR,Sales,True,2025-05-12,5,2,3,2,2026-01-06,2026-01-21,1362,True
00QVPLQEvJXmcCDPMA,Ximena,Wilson,Pinnacle Consulting,ximena.wilson.54@lead.example,+1-555-258-5677,Nurturing,Outbound,005sbu92PDPF7bHdnm,2025-09-16,,,,Amina Ibrahim,Business Development Representative,BDR,Sales,True,2025-12-03,7,2,5,1,2025-07-29,2025-08-08,106,False
00QmupyxmuJ3c2OgfS,Aaliyah,Garcia,Evergreen Consulting,aaliyah.garcia.55@lead.example,+1-555-151-4087,Nurturing,Inbound,005F4DJKwnDrFRcqbf,2024-09-24,001XIvs42ZChpiWMLm,003QgLqSYC2R9j2olm,006RfPwdcL9qmLJ6gf,Noah Smith,Business Development Representative,BDR,Sales,True,2022-10-29,6,4,2,1,2025-11-19,2025-11-28,463,True
00Q6J3vfZ3KGF9fFES,Amina,Smith,Clearwater Foods,amina.smith.56@lead.example,+1-555-145-3579,Working,Web,005gYdlj9yv5Cc6zkp,2023-04-17,,,,Quinn Smith,Business Development Representative,BDR,Sales,True,2025-03-05,6,2,4,2,2025-11-20,2025-12-16,989,False
00QoEoe65fceyNPH6w,Imani,Williams,Evergreen Software,imani.williams.57@lead.example,+1-555-850-4627,Open,Web,005chtXE6kHD1j5gMk,2023-09-29,0013LcVAVByoM07a8D,003Bb2tOZOwxWrYAGH,006pgDt55k9i9UsMsZ,Andre Perez,Business Development Representative,BDR,Sales,True,2023-03-22,3,0,3,0,2024-12-19,2024-12-25,824,True
00QRnasqqCbtndKIHd,Javier,Banerjee,Pinnacle Services,javier.banerjee.58@lead.example,+1-555-348-7965,Working,Outbound,005a88RCsXNcc8P2XG,2024-01-29,001YYEC9mm4X9iyOrP,003bxNIl5fz4d2r6zf,006zaDNWQ27TJfyhpz,Malik Taylor,Business Development Representative,BDR,Sales,True,2022-05-21,5,3,2,0,2025-12-25,2026-01-08,702,True
00QpEhOcbGLf6hQ5LF,Amina,Smith,Acme Manufacturing,amina.smith.59@lead.example,+1-555-167-6386,Nurturing,Outbound,005ITUm8sMeUL9Z9US,2022-03-21,,,,Saanvi Smith,Account Executive,AE,Sales,True,2022-02-09,3,2,1,2,2024-06-06,2024-06-21,1381,False
00QTHo0FjP6VXGJl3R,Quinn,Khan,Pinnacle Financial,quinn.khan.60@lead.example,+1-555-232-6285,Working,Event,005uzGGUX4TIYx0w3I,2022-08-23,001O9XKGAhV6hM9odX,003hKD2YUEUAVskclv,006wOdSxCiqZSd7qf7,Jordan Banerjee,Account Executive,AE,Sales,True,2022-08-20,1,0,1,0,2021-12-20,2022-01-07,1226,True
00QGwBa6sYg8cwFgGW,Emerson,Chen,BlueSky Media,emerson.chen.61@lead.example,+1-555-139-3978,Qualified,Trade Show,005M1BnJPIeqHk8Nds,2025-04-21,001zNojB9mzf5SX2Mu,003y8kGcfe7PcbvlXm,006h3asmi5zYuzFXqN,Adriana Green,Sales Development Representative,SDR,Sales,True,2024-10-17,0,0,0,0,,,254,True
00QnrAGE5gYpXHTMD0,Ximena,Robinson,Oakridge Health,ximena.robinson.62@lead.example,+1-555-218-5021,Nurturing,Trade Show,0052yGgxi1v4hCqV4x,2023-11-14,001IOAl4mmQmy2YAuH,,,Amina Hernandez,Sales Development Representative,SDR,Sales,True,2022-10-07,4,3,1,0,2025-08-06,2025-09-03,778,True
00QGz91jMmelViVvsd,Saanvi,Thompson,Clearwater Financial,saanvi.thompson.63@lead.example,+1-555-559-1981,Open,Inbound,005w1rZfJkoRoaYcEo,2025-05-20,,,,Jada Green,Business Development Representative,BDR,Sales,True,2021-10-10,3,3,0,2,2025-04-02,2025-04-13,225,False
00Q0PyLivN9L8IClPM,Elias,Ibrahim,Summit Logistics,elias.ibrahim.64@lead.example,+1-555-779-2525,Nurturing,Trade Show,005vvizm5OfORbfBYV,2025-10-05,001BkZCrDW9tTpXZdJ,003iu0LsVbbmSYGoA5,006J1AiDUxYTGW1TN3,Kavya Robinson,Sales Development Representative,SDR,Sales,True,2022-06-25,7,5,2,4,2025-12-20,2025-12-26,87,True
00QAkPtvmdGoVIMfWN,Adriana,Ali,Vertex Financial,adriana.ali.65@lead.example,+1-555-150-6671,Qualified,Partner Referral,005CyM4CU7TgZ0ieQC,2023-09-06,,,,Haruto Edwards,Business Development Representative,BDR,Sales,True,2022-01-03,5,1,4,2,2025-09-08,2025-09-15,847,False
00QBfQ6efQVqea4T6N,Daniel,Baker,Vertex Retail,daniel.baker.66@lead.example,+1-555-406-7338,Nurturing,Trade Show,0052yGgxi1v4hCqV4x,2025-11-23,001GQZB8DIUMBAnw8X,,,Amina Hernandez,Sales Development Representative,SDR,Sales,True,2022-10-07,6,4,2,2,2025-12-09,2025-12-10,38,True
00QWzcmtcFIu470LNe,Priya,Williams,Northstar Group,priya.williams.67@lead.example,+1-555-399-1836,Working,Trade Show,005IAWyyPlUBLQDIva,2023-04-07,,,,Sofia Ali,Sales Development Representative,SDR,Sales,True,2023-04-13,1,0,1,0,2022-06-26,2022-07-03,999,False
00QgGdXzNzurmLDrZD,Nia,Taylor,BlueSky Software,nia.taylor.68@lead.example,+1-555-458-8131,Nurturing,Outbound,005k1Pfjp8rVQw0f9u,2022-02-28,,,,Elias Lee,Business Development Representative,BDR,Sales,True,2022-08-19,1,1,0,0,2023-09-14,2023-09-17,1402,False
00QwQ7DnoYFna3MknP,Liam,Nguyen,Stratus Financial,liam.nguyen.69@lead.example,+1-555-115-1392,Working,Outbound,005oRycfOWj8YbLrlq,2023-10-20,001SXqIHEKn0TRN9WR,003B3CNMdiznheqdSu,006uhNKS3Mn2NrgEYP,Jada Ali,Account Executive,AE,Sales,True,2024-02-06,7,4,3,1,2025-12-18,2026-01-04,803,True
00Q6rFy2VABUXJ39jg,Omar,Smith,Evergreen Systems,omar.smith.70@lead.example,+1-555-180-6834,Nurturing,Trade Show,005eP2OT2tJzd6Dja9,2024-01-02,001WWlLT10tj3n8BMS,003jkbPkd2Inf81kYA,006mReCwPkRRuOtEx6,Daniel Robinson,Business Development Representative,BDR,Sales,True,2023-11-23,1,0,1,0,2025-06-04,2025-06-29,729,True
00QlucD376gGA8Ghs4,Liam,Smith,Nimbus Consulting,liam.smith.71@lead.example,+1-555-199-4664,Working,Web,005XZUpRP9HBvLfhY6,2022-12-19,,,,Camila Perez,Business Development Representative,BDR,Sales,True,2023-01-30,6,2,4,4,2025-12-14,2026-01-05,1108,False
00QJroOCNk4ipt5LdG,Riley,Hernandez,Evergreen Partners,riley.hernandez.72@lead.example,+1-555-596-8931,Nurturing,Partner Referral,005Cu36WnbRoy8DEqo,2024-07-04,001WbfMOnEGm8dazo8,0033CG0cDdoiaj99g6,006OfBNpk9hyzFPa8r,Javier Miller,Sales Development Representative,SDR,Sales,True,2023-12-15,3,1,2,1,2024-09-15,2024-09-30,545,True
00Qzmx7Sbh1tzYUWeG,Carmen,Jackson,Nimbus Partners,carmen.jackson.73@lead.example,+1-555-564-3730,Working,Partner Referral,005JwwpEL8xofdwkwl,2025-08-31,0019GIyvhBjdCMRG74,003qpuNN41Lc84Owg0,006JK0hsUAFibnkLh7,Daniel Smith,Sales Development Representative,SDR,Sales,True,2023-09-18,4,1,3,3,2024-11-21,2024-12-21,122,True
00QraPn5qPVgHMs3J4,Haruto,Gonzalez,Evergreen Consulting,haruto.gonzalez.74@lead.example,+1-555-965-7324,Qualified,Event,005CyM4CU7TgZ0ieQC,2025-11-22,,,,Haruto Edwards,Business Development Representative,BDR,Sales,True,2022-01-03,2,1,1,0,2025-08-19,2025-08-31,39,False
